Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
E-Mail,How frequently does your job require you to use E-mail?,95,Every day,,,,,,,,
Telephone Conversations,How often do you have telephone conversations in this job?,80,Every day,20,Once a week or more but not every day,,,,,,
Work With or Contribute to a Work Group or Team,How important is it to work with or contribute to a work group or team in this job?,75,Extremely important,25,Very important,,,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",57,Constant contact with others,43,Contact with others most of the time,,,,,,
"Determine Tasks, Priorities and Goals","How much freedom does the worker have in determining the tasks, priorities, or goals of the job?",43,A lot of freedom,52,Some freedom,,,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in an environmentally controlled environment (like a warehouse with air conditioning)?,75,Every day,,,,,,,,
Spend Time Sitting,How much does this job require sitting?,50,Continually or almost continually,45,More than half the time,,,,,,
Face-to-Face Discussions with Individuals and Within Teams,How frequently does your job require face-to-face discussions with individuals and within teams?,60,Every day,25,Once a week or more but not every day,,,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,52,Every day,29,Once a week or more but not every day,19,Once a month or more but not every week,,,,
Coordinate or Lead Others in Accomplishing Work Activities,How important is it to coordinate or lead others (not as a supervisor or team leader) in accomplishing work activities in this job?,50,Extremely important,25,Very important,20,Important,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,60,More than 40 hours,40,40 hours,,,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",29,A lot of freedom,62,Some freedom,,,,,,
Work Outcomes and Results of Other Workers,How responsible is the worker for work outcomes and results of other workers?,40,Very high responsibility,35,High responsibility,15,Moderate responsibility,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,24,Extremely important,48,Very important,29,Important,,,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,19,Extremely competitive,57,Highly competitive,19,Moderately competitive,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,24,Very important results,57,Important results,,,,,,
Conflict Situations,How frequently are there conflict situations the employee has to face in this job?,14,Every day,52,Once a week or more but not every day,29,Once a month or more but not every week,,,,
Written Letters and Memos,How frequently does your job require written letters and memos?,30,Every day,45,Once a week or more but not every day,20,Once a year or more but not every month,,,,
Frequency of Decision Making,"How often is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",30,Every day,20,Once a week or more but not every day,40,Once a month or more but not every week,,,,
Deal With External Customers or the Public in General,How important is it to deal with external customers (as in retail sales) or the public in general (as in police work) in this job?,14,Extremely important,52,Very important,19,Important,,,,
Importance of Repeating Same Tasks,"How important are continuous, repetitive, physical activities (like key entry) or mental activities (like checking entries in a ledger) to performing this job?",33,Extremely important,24,Very important,19,Important,14,Not important at all,,
Public Speaking,How frequently does your job require public speaking (one speaker with an audience)?,43,Once a week or more but not every day,19,Once a month or more but not every week,29,Once a year or more but not every month,,,,
"Dealing With Unpleasant, Angry, or Discourteous People","How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",40,Once a week or more but not every day,30,Once a month or more but not every week,25,Once a year or more but not every month,,,,
Health and Safety of Other Workers,How much responsibility is there for the health and safety of others in this job?,19,Very high responsibility,24,High responsibility,19,Moderate responsibility,33,Limited responsibility,,
Physical Proximity,To what extent does this job require the worker to perform job tasks physically close to other people?,25,Moderately close (at arm's length),60,"Slightly close (e.g., shared office)",,,,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not easily correctable?,40,Serious,30,Fairly serious,,,,,,
"Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,14,Once a week or more but not every day,19,Once a month or more but not every week,38,Once a year or more but not every month,19,Never,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,14,Continually or almost continually,14,About half the time,52,Never,,,,
Degree of Automation,How automated is the job?,14,Highly automated,14,Moderately automated,43,Slightly automated,29,Not at all automated,,
Spend Time Standing,How much does this job require standing?,11,More than half the time,74,Less than half the time,11,Never,,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",14,More than half the time,14,About half the time,29,Less than half the time,43,Never,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),14,Very important,19,Important,62,Not important at all,,,,
Spend Time Walking or Running,How much does this job require walking or running?,16,About half the time,53,Less than half the time,32,Never,,,,
"Exposed to Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,19,Once a month or more but not every week,29,Once a year or more but not every month,52,Never,,,,
"Indoors, Not Environmentally Controlled",How often does this job require working in an environment that is not environmentally controlled (like a warehouse without air conditioning)?,19,Once a month or more but not every week,29,Once a year or more but not every month,52,Never,,,,
Exposed to Extremely Bright or Inadequate Lighting Conditions,How often does this job require working in extremely bright or inadequate lighting conditions?,14,Once a month or more but not every week,29,Once a year or more but not every month,57,Never,,,,
In an Enclosed Vehicle or Operate Enclosed Equipment,How often does this job require working in a closed vehicle or operate enclosed equipment (like a car)?,24,Once a month or more but not every week,67,Never,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, poles, etc.?",20,Less than half the time,70,Never,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",11,Once a month or more but not every week,26,Once a year or more but not every month,63,Never,,,,
"Outdoors, Exposed to All Weather Conditions","How often does this job require working outdoors, exposed to all weather conditions?",30,Once a year or more but not every month,65,Never,,,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How often does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hearing protection, hard hats or life-jackets?",30,Once a year or more but not every month,65,Never,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,14,Once a year or more but not every month,76,Never,,,,,,
Work Schedules,How regular are the work schedules for this job?,19,"Irregular (changes with weather conditions, production demands, or contract duration)",81,"Regular (established routine, set schedule)",,,,,,
Spend Time Bending or Twisting Your Body,How much does this job require bending or twisting your body?,25,Less than half the time,70,Never,,,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",35,Less than half the time,65,Never,,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (like in an open shed)?",30,Once a year or more but not every month,70,Never,,,,,,
Dealing with Violent or Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,29,Once a year or more but not every month,71,Never,,,,,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",85,Never,,,,,,,,
Exposed to Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,15,Once a year or more but not every month,80,Never,,,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,25,Less than half the time,75,Never,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,85,Never,,,,,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How often does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",20,Once a year or more but not every month,80,Never,,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,15,Once a year or more but not every month,85,Never,,,,,,
In an Open Vehicle or Operating Equipment,How often does this job require working in an open vehicle or operating equipment (like a tractor)?,15,Once a year or more but not every month,85,Never,,,,,,
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,90,Never,,,,,,,,
Exposed to Whole Body Vibration,How often does this job require exposure to whole body vibration (like operating a jackhammer or earth moving equipment)?,95,Never,,,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,100,Never,,,,,,,,
